Rider,Jersey Number,Team,Category,PCS 2026,PCS 12 Months,Wins 2026,Value,Tier,Price,PCS Rank,PCS Link
🇸🇮 T. POGACAR,1,UAE Team Emirates XRG,Leaders,2123,4744,15,127.5,Excellent,27,1.0,https://www.procyclingstats.com/rider/tadej-pogacar
🇩🇰 J. VINGEGAARD HANSEN,11,Team Visma | Lease a Bike,Leaders,1579,3405,14,105.3,Excellent,24,2.0,https://www.procyclingstats.com/rider/jonas-vingegaard
🇨🇭 M. SCHMID,118,Team Jayco AlUla,Climbers,1063,1307,5,99.3,Excellent,14,7.0,https://www.procyclingstats.com/rider/mauro-schmid
🇧🇪 R. EVENEPOEL,21,Red Bull - BORA - hansgrohe,Leaders,1230,2426,8,95.5,Excellent,20,4.0,https://www.procyclingstats.com/rider/remco-evenepoel
🇲🇽 I. DEL TORO ROMERO,2,UAE Team Emirates XRG,Climbers,1207,2901,12,91.3,Excellent,22,5.0,https://www.procyclingstats.com/rider/isaac-del-toro
🇫🇷 P. SEIXAS,51,Decathlon CMA CGM Team,Leaders,1266,1545,11,90.4,Excellent,19,3.0,https://www.procyclingstats.com/rider/paul-seixas
🇫🇷 R. GREGOIRE,181,Groupama-FDJ United,All-rounders,779,1289,3,72.4,Excellent,14,19.0,https://www.procyclingstats.com/rider/romain-gregoire
🇧🇪 J. PHILIPSEN,105,Alpecin-Premier Tech,Sprinters,1055,1752,6,70.6,Excellent,22,8.0,https://www.procyclingstats.com/rider/jasper-philipsen
🇬🇧 T. PIDCOCK,171,Pinarello-Q.36.5 Pro Cycling Team,Leaders,896,1709,4,70.6,Excellent,18,11.0,https://www.procyclingstats.com/rider/tom-pidcock
🇫🇷 L. MARTINEZ,71,Bahrain Victorious,Climbers,853,1157,3,70.1,Excellent,15,16.0,https://www.procyclingstats.com/rider/lenny-martinez
🇩🇪 F. LIPOWITZ,25,Red Bull - BORA - hansgrohe,Leaders,1002,1559,5,69.6,Excellent,20,9.0,https://www.procyclingstats.com/rider/florian-lipowitz
🇪🇸 I. IZAGIRRE INSAUSTI,161,Cofidis,Climbers,707,934,1,65.8,Excellent,12,22.0,https://www.procyclingstats.com/rider/ion-izagirre
🇫🇷 A. BAUDIN,43,EF Education - Easypost,Climbers,540,702,1,60.1,Excellent,10,32.0,https://www.procyclingstats.com/rider/alex-baudin
🇳🇱 M. VAN DER POEL,101,Alpecin-Premier Tech,All-rounders,995,1503,4,59.8,Excellent,22,10.0,https://www.procyclingstats.com/rider/mathieu-van-der-poel
🇫🇷 D. GODON,85,Netcompany Ineos,Sprinters,534,991,7,58.1,Great,14,34.0,https://www.procyclingstats.com/rider/dorian-godon
🇳🇴 T. JOHANNESSEN,121,Uno-X Mobility,Leaders,867,1281,0,55.9,Great,17,12.0,https://www.procyclingstats.com/rider/tobias-halland-johannessen
🇦🇺 S. BERWICK,223,Caja Rural-Seguros RGA,Climbers,392,428,2,54.9,Great,8,70.0,https://www.procyclingstats.com/rider/sebastian-berwick
🇪🇸 A. ARANBURU DEVA,163,Cofidis,Sprinters,530,770,3,51.1,Great,13,36.0,https://www.procyclingstats.com/rider/alex-aranburu
🇧🇪 J. STUYVEN,94,Soudal Quick-Step,All-rounders,564,730,0,49.8,Great,12,28.0,https://www.procyclingstats.com/rider/jasper-stuyven
🇰🇿 N. VINOKUROV,68,XDS Astana Team,All-rounders,336,453,1,47.2,Great,8,91.0,https://www.procyclingstats.com/rider/nicolas-vinokurov
🇺🇸 M. RICCITELLO,58,Decathlon CMA CGM Team,Climbers,540,981,4,47.1,Great,16,31.0,https://www.procyclingstats.com/rider/matthew-riccitello
